Stadtteil,Bezirk,StadtTID,Wohn_07,Wohn_10,Wohn_Change,SozD_07,SozD_10,SozD_Change,Mietpreise,Anteil_ETW,Anteil_KDU,Kind_Arm,Erwa_Arm,Alter_Arm
Müggelheim,Treptow-Köpenick,47,0.78,1.31,0.53,1.878633773,2.022089773,-0.752069293,7.570431343,0.219512195,0.111603546,0.056104237,0.042217393,0.006403547
Neukölln,Neukölln,48,-1.15,0.09,1.24,-2.72160434,-2.502342118,0.097630657,6.529587264,0.193428184,0.049335863,0.653460222,0.137575141,0.131528042
Niederschöneweide,Treptow-Köpenick,49,-1.39,-0.59,0.8,0.426632518,0.721121942,-1.362411729,5.392402478,0.193610842,0.545902883,0.337284069,0.093011923,0.012498078
Niederschönhausen,Pankow,50,0.71,1.54,0.83,1.087941061,1.347830979,-1.320736355,7.094820749,0.383561644,0.195309496,0.127408929,0.068322876,0.017770074
Nikolassee,Steglitz-Zehlendorf,51,2.9,2.51,-0.39,2.103200315,2.064730987,0.438313047,9.081839556,0.414611006,0.075932264,0.062652312,0.029509489,0.013332584
Oberschöneweide,Treptow-Köpenick,52,-0.89,-0.72,0.17,-0.890181324,-0.47199664,-1.824164901,5.806904096,0.114188164,0.069148936,0.420244039,0.129564111,0.034462228
Pankow,Pankow,53,-0.06,1.41,1.47,0.574759222,0.88099521,-1.487833731,6.790931969,0.421760861,0.433284672,0.213197597,0.088065732,0.021478244
Prenzlauer Berg,Pankow,54,1.31,2.76,1.45,0.478809346,0.811334772,-1.640890947,8.728126801,0.532336516,0.102446483,0.191698514,0.085927212,0.043847049
Rahnsdorf,Treptow-Köpenick,55,1.07,1.48,0.41,2.068231935,2.154036074,-0.4102039,8.427414801,0.207446809,0.251863476,0.050830949,0.032584175,0.006965337
Reinickendorf,Reinickendorf,56,-0.92,0.25,1.17,-0.810726499,-0.892289472,1.606286842,5.740388055,0.33270073,0.078125,0.53805003,0.124015523,0.048901822
Rosenthal,Pankow,57,0.98,1.15,0.17,1.235204635,1.474674428,-1.223569499,7.227717858,0.255351682,0.107357,0.135028409,0.060083713,0.012701578
Rudow,Neukölln,58,-0.52,0.24,0.76,0.58984343,0.775976761,-0.662207231,6.499128723,0.155747352,0.364906832,0.290990629,0.066437951,0.026780794
Schmargendorf,Charlottenburg-Wilmersdorf,59,1.8,2.35,0.55,1.520865797,1.538747025,0.222715662,8.616437012,0.43125,0.379724008,0.133087504,0.058261555,0.027501742
Schöneberg,Tempelhof-Schöneberg,61,0.6,2.29,1.69,-0.327370408,-0.13106892,-0.45860199,7.672735912,0.528124108,0.508155583,0.374138113,0.087413753,0.105525479
Siemensstadt,Spandau,62,-1.02,0.16,1.18,0.000972357,-0.163415122,1.936378345,5.613631158,0.285714286,0.134502017,0.407597412,0.105490528,0.040187667
Spandau,Spandau,63,-0.4,-0.21,0.19,-0.564301382,-0.414780332,-0.064513829,5.565916207,0.194762427,0.315300546,0.46536826,0.118853359,0.043281552
Staaken,Spandau,64,-1.05,-1.16,-0.11,-0.338116391,-0.217279344,0.066205215,4.857344578,0.072354663,0.288130893,0.405707045,0.105127384,0.036480363
Steglitz,Steglitz-Zehlendorf,65,0.86,1.65,0.79,0.863650409,0.904177577,0.262439218,7.287770023,0.404591995,0.21385028,0.237461554,0.072171438,0.038238315
Tegel,Reinickendorf,66,-0.25,0.6,0.85,0.841814691,0.54206128,2.620925518,6.528937751,0.286885246,0.35251046,0.343761797,0.08482738,0.033264136
